2025-01-11 00:10:30.434 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-01-11 00:10:30.486 [main] INFO  com.nkd.config.ConfigApplication - Starting ConfigApplication using Java 21.0.1 with PID 11880 (D:\Web projects\microservices\tixery\config\target\classes started by 84852 in D:\Web projects\microservices\tixery)
2025-01-11 00:10:30.486 [main] INFO  com.nkd.config.ConfigApplication - The following 1 profile is active: "native"
2025-01-11 00:10:31.159 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=e41ee321-98a2-3d2d-a821-b739b4db80c6
2025-01-11 00:10:31.408 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8888 (http)
2025-01-11 00:10:31.420 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2025-01-11 00:10:31.421 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-01-11 00:10:31.421 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.33]
2025-01-11 00:10:31.476 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-01-11 00:10:31.477 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 956 ms
2025-01-11 00:10:32.038 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2025-01-11 00:10:32.051 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8888 (http) with context path '/'
2025-01-11 00:10:32.068 [main] INFO  com.nkd.config.ConfigApplication - Started ConfigApplication in 2.205 seconds (process running for 3.348)
2025-01-11 00:10:41.854 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-01-11 00:10:41.854 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-01-11 00:10:41.855 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-01-11 00:10:56.882 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [shared/gateway.yml]' via location 'classpath:/shared/'
2025-01-11 00:13:27.968 [http-nio-8888-exec-6] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [shared/event-service.yml]' via location 'classpath:/shared/'
2025-01-11 00:13:28.088 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [shared/event-service.yml]' via location 'classpath:/shared/'
2025-01-11 00:49:04.222 [http-nio-8888-exec-9] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [shared/event-service.yml]' via location 'classpath:/shared/'
2025-01-11 00:49:04.326 [http-nio-8888-exec-10] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [shared/event-service.yml]' via location 'classpath:/shared/'
2025-01-11 00:51:50.067 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [shared/event-service.yml]' via location 'classpath:/shared/'
2025-01-11 00:51:50.192 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [shared/event-service.yml]' via location 'classpath:/shared/'
2025-01-11 00:52:37.458 [http-nio-8888-exec-8] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [shared/event-service.yml]' via location 'classpath:/shared/'
2025-01-11 00:52:37.581 [http-nio-8888-exec-6] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [shared/event-service.yml]' via location 'classpath:/shared/'
2025-01-11 00:53:04.048 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [shared/event-service.yml]' via location 'classpath:/shared/'
2025-01-11 00:53:04.154 [http-nio-8888-exec-9] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [shared/event-service.yml]' via location 'classpath:/shared/'
2025-01-11 00:53:41.285 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [shared/event-service.yml]' via location 'classpath:/shared/'
2025-01-11 00:53:41.366 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [shared/event-service.yml]' via location 'classpath:/shared/'
2025-01-11 00:55:00.075 [http-nio-8888-exec-4] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [shared/event-service.yml]' via location 'classpath:/shared/'
2025-01-11 00:55:00.187 [http-nio-8888-exec-8] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [shared/event-service.yml]' via location 'classpath:/shared/'
2025-01-11 00:56:50.136 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [shared/event-service.yml]' via location 'classpath:/shared/'
2025-01-11 00:56:50.214 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'class path resource [shared/event-service.yml]' via location 'classpath:/shared/'
2025-01-11 00:57:29.391 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-01-11 00:57:29.429 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
